block,v3_usdc_per_weth,v2_usdc_per_weth,spread_pct,direction
47146379,1621.9809,1622.4775,0.03062,V3->V2
47146380,1621.8217,1622.4775,0.04043,V3->V2
47146381,1621.8217,1622.4775,0.04043,V3->V2
47146382,1621.8217,1622.4775,0.04043,V3->V2
47146383,1621.6293,1622.4775,0.05230,V3->V2
47146384,1621.4332,1622.4775,0.06441,V3->V2
47146385,1621.4335,1622.4775,0.06438,V3->V2
47146386,1621.4335,1622.4775,0.06438,V3->V2
47146387,1621.4333,1622.4775,0.06440,V3->V2
47146388,1621.4333,1622.4775,0.06440,V3->V2
47146389,1621.4333,1622.4775,0.06440,V3->V2
47146390,1621.2906,1622.4775,0.07321,V3->V2
47146391,1621.0537,1622.4775,0.08783,V3->V2
47146392,1621.0537,1622.4775,0.08783,V3->V2
47146393,1621.0537,1622.4775,0.08783,V3->V2
47146394,1621.0537,1622.4775,0.08783,V3->V2
47146395,1621.0223,1622.4775,0.08977,V3->V2
47146396,1620.7515,1622.4775,0.10649,V3->V2
47146397,1620.1326,1622.4775,0.14474,V3->V2
47146398,1620.1326,1622.4775,0.14474,V3->V2
47146399,1620.1332,1622.4775,0.14469,V3->V2
47146400,1620.1332,1622.4775,0.14469,V3->V2
47146401,1620.1332,1622.4775,0.14469,V3->V2
47146402,1620.1332,1622.4775,0.14469,V3->V2
47146403,1620.1332,1622.4775,0.14469,V3->V2
47146404,1620.1332,1622.4775,0.14469,V3->V2
47146405,1620.1332,1622.4775,0.14469,V3->V2
47146406,1620.1332,1622.4775,0.14469,V3->V2
47146407,1620.1332,1622.4775,0.14469,V3->V2
47146408,1620.1326,1622.4775,0.14474,V3->V2
47146409,1620.1326,1622.4775,0.14474,V3->V2
47146410,1619.6134,1622.4775,0.17684,V3->V2
47146411,1619.6134,1622.4775,0.17684,V3->V2
47146412,1619.6134,1622.4775,0.17684,V3->V2
47146413,1619.6134,1622.4775,0.17684,V3->V2
47146414,1619.6491,1622.4775,0.17463,V3->V2
47146415,1619.6487,1622.4775,0.17465,V3->V2
47146416,1619.6487,1622.4775,0.17465,V3->V2
47146417,1619.6487,1622.4775,0.17465,V3->V2
47146418,1619.6487,1622.4775,0.17465,V3->V2
47146419,1619.6487,1622.4775,0.17465,V3->V2
47146420,1620.4234,1622.4775,0.12676,V3->V2
47146421,1620.4234,1622.4775,0.12676,V3->V2
47146422,1620.4234,1622.4775,0.12676,V3->V2
47146423,1620.4234,1622.4775,0.12676,V3->V2
47146424,1620.4234,1622.4775,0.12676,V3->V2
47146425,1620.4241,1622.4775,0.12672,V3->V2
47146426,1620.3246,1622.4775,0.13287,V3->V2
47146427,1620.3246,1622.4775,0.13287,V3->V2
47146428,1620.3246,1622.4775,0.13287,V3->V2
47146429,1620.3246,1622.4775,0.13287,V3->V2
47146430,1620.3246,1622.4775,0.13287,V3->V2
47146431,1620.2395,1622.4775,0.13813,V3->V2
47146432,1620.0362,1622.4775,0.15070,V3->V2
47146433,1619.8586,1622.4775,0.16168,V3->V2
47146434,1619.7374,1622.4775,0.16917,V3->V2
47146435,1619.4051,1622.4775,0.18972,V3->V2
47146436,1619.4051,1622.4775,0.18972,V3->V2
47146437,1619.2709,1622.4775,0.19803,V3->V2
47146438,1619.2709,1622.4775,0.19803,V3->V2
47146439,1619.2709,1622.4775,0.19803,V3->V2
47146440,1619.2709,1622.4775,0.19803,V3->V2
47146441,1619.1249,1622.4775,0.20706,V3->V2
47146442,1619.1249,1622.4775,0.20706,V3->V2
47146443,1619.1249,1622.4775,0.20706,V3->V2
47146444,1619.1249,1622.4775,0.20706,V3->V2
47146445,1619.1249,1622.4775,0.20706,V3->V2
47146446,1619.1249,1622.4775,0.20706,V3->V2
47146447,1619.1249,1622.4775,0.20706,V3->V2
47146448,1619.1249,1622.4775,0.20706,V3->V2
47146449,1619.1249,1622.4775,0.20706,V3->V2
47146450,1619.1249,1622.4775,0.20706,V3->V2
47146451,1619.1249,1622.4775,0.20706,V3->V2
47146452,1619.1249,1622.4775,0.20706,V3->V2
47146453,1619.1249,1622.4775,0.20706,V3->V2
47146454,1619.1249,1622.4775,0.20706,V3->V2
47146455,1619.1249,1622.4775,0.20706,V3->V2
47146456,1619.1249,1622.4775,0.20706,V3->V2
47146457,1619.1249,1622.4775,0.20706,V3->V2
47146458,1619.1249,1622.4775,0.20706,V3->V2
47146459,1619.1249,1622.4775,0.20706,V3->V2
47146460,1619.1249,1622.4775,0.20706,V3->V2
47146461,1619.1319,1622.4775,0.20663,V3->V2
47146462,1619.1319,1622.4775,0.20663,V3->V2
47146463,1619.1318,1622.4775,0.20663,V3->V2
47146464,1619.1318,1622.4775,0.20663,V3->V2
47146465,1619.1318,1622.4775,0.20663,V3->V2
47146466,1619.1318,1622.4775,0.20663,V3->V2
47146467,1619.1318,1622.4775,0.20663,V3->V2
47146468,1619.1319,1622.4775,0.20663,V3->V2
47146469,1619.1319,1622.4777,0.20664,V3->V2
47146470,1619.1319,1622.4777,0.20664,V3->V2
47146471,1619.1319,1622.4777,0.20664,V3->V2
47146472,1619.1319,1622.4777,0.20664,V3->V2
47146473,1619.1319,1622.4777,0.20664,V3->V2
47146474,1619.1319,1622.4777,0.20664,V3->V2
47146475,1619.1319,1622.4777,0.20664,V3->V2
47146476,1619.1319,1622.4777,0.20664,V3->V2
47146477,1619.1319,1622.4777,0.20664,V3->V2
47146478,1619.1319,1622.4777,0.20664,V3->V2
47146479,1619.1319,1622.4777,0.20664,V3->V2
47146480,1619.1315,1622.4777,0.20667,V3->V2
47146481,1619.1315,1622.4777,0.20667,V3->V2
47146482,1619.1315,1622.4777,0.20667,V3->V2
47146483,1619.1315,1622.4777,0.20667,V3->V2
47146484,1618.9597,1622.4777,0.21730,V3->V2
47146485,1618.9597,1622.4777,0.21730,V3->V2
47146486,1618.9597,1622.4777,0.21730,V3->V2
47146487,1618.9597,1622.4777,0.21730,V3->V2
47146488,1618.9597,1622.4777,0.21730,V3->V2
47146489,1618.9597,1622.4777,0.21730,V3->V2
47146490,1618.9597,1622.4777,0.21730,V3->V2
47146491,1618.9597,1622.4777,0.21730,V3->V2
47146492,1618.9597,1622.4777,0.21730,V3->V2
47146493,1618.9597,1622.4777,0.21730,V3->V2
47146494,1618.9597,1622.4778,0.21730,V3->V2
47146495,1618.9589,1622.4778,0.21735,V3->V2
47146496,1619.1362,1622.4778,0.20638,V3->V2
47146497,1619.3604,1622.4778,0.19251,V3->V2
47146498,1619.3604,1622.4778,0.19251,V3->V2
47146499,1619.3604,1622.4778,0.19251,V3->V2
47146500,1619.3604,1622.4778,0.19251,V3->V2
47146501,1619.3604,1622.4778,0.19251,V3->V2
47146502,1619.3604,1622.4778,0.19251,V3->V2
47146503,1619.3596,1622.4778,0.19256,V3->V2
47146504,1619.3596,1622.4778,0.19256,V3->V2
47146505,1619.3596,1622.4778,0.19256,V3->V2
47146506,1619.3596,1622.4778,0.19256,V3->V2
47146507,1619.3596,1622.4778,0.19256,V3->V2
47146508,1619.3596,1622.4778,0.19256,V3->V2
47146509,1619.3596,1622.4778,0.19256,V3->V2
47146510,1619.3596,1622.4778,0.19255,V3->V2
47146511,1619.3596,1622.4778,0.19255,V3->V2
47146512,1619.3596,1622.4778,0.19255,V3->V2
47146513,1619.3596,1622.4778,0.19255,V3->V2
47146514,1619.3596,1622.4778,0.19255,V3->V2
47146515,1619.3596,1622.4778,0.19255,V3->V2
47146516,1619.3597,1622.4778,0.19255,V3->V2
47146517,1619.3596,1622.4778,0.19255,V3->V2
